Using TensorFlow backend.
2019-01-10 09:56:50.709261: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2019-01-10 09:56:57.360484: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1432] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.6325
pciBusID: 0000:84:00.0
totalMemory: 10.91GiB freeMemory: 10.75GiB
2019-01-10 09:56:57.360564: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1511] Adding visible gpu devices: 0
2019-01-10 09:56:57.840145: I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-01-10 09:56:57.840218: I tensorflow/core/common_runtime/gpu/gpu_device.cc:988]      0 
2019-01-10 09:56:57.840231: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1001] 0:   N 
2019-01-10 09:56:57.840602: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 10400 MB memory) -> physical GPU (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:84:00.0, compute capability: 6.1)
Reading data/kiba/ start
Read data/kiba/ start
2111
229
tmp1545016336.2369363/
Reading data/kiba/ start
val set 19709
train set 78836
val set 19709
train set 78836
val set 19709
train set 78836
val set 19709
train set 78836
val set 19709
train set 78836
[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]]
[32]
[4, 8]
[8, 12]
tranpytorch.py:148: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(self.conv1XD.weight)
tranpytorch.py:150: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(self.conv2XD.weight)
tranpytorch.py:152: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(self.conv3XD.weight)
tranpytorch.py:156: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(self.conv1XT.weight)
tranpytorch.py:158: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(self.conv2XT.weight)
tranpytorch.py:160: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(self.conv3XT.weight)
tranpytorch.py:163: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(self.fc1.weight)
tranpytorch.py:165: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(self.fc2.weight)
tranpytorch.py:167: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(self.fc3.weight)
tranpytorch.py:169: UserWarning: nn.init.normal is now deprecated in favor of nn.init.normal_.
  torch.nn.init.normal(self.fc4.weight)
param  4   32   8
epoch  0  , train loss  24.32769196018901   , vali loss  1.5137317193335331
epoch  48  , train loss  0.7098622578628362   , vali loss  0.6935040564096477
epoch  49  , train loss  0.7098023359213882   , vali loss  0.6937492184246068
epoch  50  , train loss  0.7097968326063   , vali loss  0.6935691463722898
epoch  51  , train loss  0.7098362048477082   , vali loss  0.6935758638027517
epoch  52  , train loss  0.7098093911104959   , vali loss  0.6937923774495929
epoch  53  , train loss  0.7098010176150752   , vali loss  0.6937788317383645
epoch  54  , train loss  0.7098261757046733   , vali loss  0.6940729842500979
epoch  55  , train loss  0.7097727557562689   , vali loss  0.6942435172759536
epoch  56  , train loss  0.709743453007237   , vali loss  0.6943771464257693
epoch  57  , train loss  0.7097185359612539   , vali loss  0.6948234155404404
epoch  58  , train loss  0.7096545510631009   , vali loss  0.6953790257695519
epoch  59  , train loss  0.7097910573036257   , vali loss  0.6954202859500535
P1 = 0,  P2 = 0, P3 = 0, Fold = 0, CI-i = 0.526281, MSE = 0.693470
param  4   32   12
epoch  0  , train loss  28.876281622217164   , vali loss  1.3414493354163193
epoch  1  , train loss  0.8571868764434184   , vali loss  1.80013996286173
epoch  2  , train loss  0.806919892660238   , vali loss  2.1514649880979393
epoch  3  , train loss  0.7909234576836418   , vali loss  2.0934046623072815
epoch  4  , train loss  0.7790781910261357   , vali loss  2.440547259238958
epoch  5  , train loss  0.7702009372620696   , vali loss  2.9539749946542946
epoch  6  , train loss  0.769231037713965   , vali loss  2.4372287091735148
epoch  7  , train loss  0.7637702108844846   , vali loss  2.5067126992884834
epoch  8  , train loss  0.7580697073367423   , vali loss  2.512251133316093
epoch  9  , train loss  0.7550887308821624   , vali loss  2.378850375579562
epoch  10  , train loss  0.7513696386108987   , vali loss  2.127697582253099
epoch  11  , train loss  0.7464514966636218   , vali loss  1.8502529320442742
epoch  12  , train loss  0.7443502039734925   , vali loss  1.7467278933511778
epoch  13  , train loss  0.7407535306696926   , vali loss  1.6828425369207534
epoch  14  , train loss  0.7396588348514915   , vali loss  1.5964173681508933
epoch  15  , train loss  0.7372707114129422   , vali loss  1.7080777249952461
epoch  16  , train loss  0.7339222005793986   , vali loss  1.7967239692395145
epoch  17  , train loss  0.7304183992900903   , vali loss  1.7106628736360197
epoch  18  , train loss  0.7284473017734373   , vali loss  1.6672401057572432
epoch  19  , train loss  0.7257056754590702   , vali loss  1.48443623096336
epoch  20  , train loss  0.7241996988790983   , vali loss  1.2779672985492072
epoch  21  , train loss  0.7258393021743769   , vali loss  1.0789691661432323
epoch  22  , train loss  0.7223144487507467   , vali loss  0.9358162568629111
epoch  23  , train loss  0.7220090504735142   , vali loss  0.8537296872081154
epoch  24  , train loss  0.719323732227645   , vali loss  0.7547821840126285
epoch  25  , train loss  0.7170959129635436   , vali loss  0.7498188330113564
epoch  26  , train loss  0.7163867114208273   , vali loss  0.7435777800480787
epoch  27  , train loss  0.7147903641226254   , vali loss  0.7462156500117868
epoch  28  , train loss  0.7155665426598068   , vali loss  0.7281640400727581
epoch  29  , train loss  0.7136866447920608   , vali loss  0.7115530185524299
epoch  30  , train loss  0.7126104975467682   , vali loss  0.7185372256683465
epoch  31  , train loss  0.7121884144902731   , vali loss  0.717104169868662
epoch  32  , train loss  0.7111725026272017   , vali loss  0.7188536154697025
epoch  33  , train loss  0.7123423369787643   , vali loss  0.704797105981163
epoch  34  , train loss  0.7119081378303662   , vali loss  0.7152730068893602
epoch  35  , train loss  0.7114993324683339   , vali loss  0.7153018228333559
epoch  36  , train loss  0.7110481330222073   , vali loss  0.7142901386661347
epoch  37  , train loss  0.7106664484570249   , vali loss  0.7113404672218062
epoch  38  , train loss  0.7104080178051865   , vali loss  0.7034166828005806
epoch  39  , train loss  0.7101860790620674   , vali loss  0.7012948203839283
epoch  40  , train loss  0.7102335598970925   , vali loss  0.7005078826957571
epoch  41  , train loss  0.7100623188827359   , vali loss  0.6996861970450661
epoch  42  , train loss  0.7100340499441956   , vali loss  0.698178027925066
epoch  43  , train loss  0.7100472581689594   , vali loss  0.6975291537103833
epoch  44  , train loss  0.7100352113471557   , vali loss  0.6970832947726857
epoch  45  , train loss  0.7101729326466156   , vali loss  0.693749722431491
epoch  46  , train loss  0.7099497424357981   , vali loss  0.6950257940073162
epoch  47  , train loss  0.7099737329802149   , vali loss  0.6937373263256826
epoch  48  , train loss  0.7099126409502042   , vali loss  0.6934896602866022
epoch  49  , train loss  0.7099196415579212   , vali loss  0.6935048184019106
epoch  50  , train loss  0.7099321369372629   , vali loss  0.6934707283949499
epoch  51  , train loss  0.7098572565737583   , vali loss  0.6935037680821209
epoch  52  , train loss  0.7098949007159577   , vali loss  0.6935734232028837
epoch  53  , train loss  0.7097831764772328   , vali loss  0.693585280341653
epoch  54  , train loss  0.7098829265604693   , vali loss  0.6947821265480533
epoch  55  , train loss  0.7096959756924214   , vali loss  0.6958014382438528
epoch  56  , train loss  0.7096936542201885   , vali loss  0.6958081770314614
epoch  57  , train loss  0.7096418388219262   , vali loss  0.6958538572793924
epoch  58  , train loss  0.7096370985182678   , vali loss  0.6958671879735709
epoch  59  , train loss  0.7096338526221182   , vali loss  0.6958741103655018
P1 = 0,  P2 = 0, P3 = 1, Fold = 0, CI-i = 0.527060, MSE = 0.693471
param  8   32   8
epoch  0  , train loss  20.749226557267324   , vali loss  1.5048555486417203
epoch  1  , train loss  0.8280121631210776   , vali loss  2.042319828785683
epoch  2  , train loss  0.7927892802240545   , vali loss  2.044420469828807
epoch  3  , train loss  0.7764273709349391   , vali loss  3.04525076003251
epoch  4  , train loss  0.7778711829460571   , vali loss  2.544654944479039
epoch  5  , train loss  0.7677801083747857   , vali loss  2.8011809461005135
epoch  6  , train loss  0.765096199183445   , vali loss  2.690888709664871
epoch  7  , train loss  0.7620425434911915   , vali loss  2.546963935295398
epoch  8  , train loss  0.757437342277999   , vali loss  2.151336178846619
epoch  9  , train loss  0.7531386512957351   , vali loss  1.7340240332989443
epoch  10  , train loss  0.7448236387132467   , vali loss  1.746617971220737
epoch  11  , train loss  0.7422544771487011   , vali loss  1.497937434339845
epoch  12  , train loss  0.7395666163620553   , vali loss  1.3992620811680632
epoch  13  , train loss  0.7387787084600275   , vali loss  1.4841515988336802
epoch  14  , train loss  0.734179418966695   , vali loss  1.5967829278375625
epoch  15  , train loss  0.7306207950192987   , vali loss  1.5075603050633746
epoch  16  , train loss  0.7260975201287536   , vali loss  1.404683606871018
epoch  17  , train loss  0.7250071820636228   , vali loss  1.2201750623356644
epoch  18  , train loss  0.7231173646753071   , vali loss  1.0606164107118738
epoch  19  , train loss  0.7243239307211223   , vali loss  0.8561314599228157
epoch  20  , train loss  0.720683937953653   , vali loss  0.7953540353423245
epoch  21  , train loss  0.7203777545064217   , vali loss  0.7136536373613789
epoch  22  , train loss  0.7173944673882245   , vali loss  0.7065835909742072
epoch  23  , train loss  0.7163961741881826   , vali loss  0.7097320869648932
epoch  24  , train loss  0.715460129573263   , vali loss  0.7097503975335427
epoch  25  , train loss  0.7152569775554989   , vali loss  0.6997509784208318
epoch  26  , train loss  0.7136516477323883   , vali loss  0.6980217543933737
epoch  27  , train loss  0.7124247200848686   , vali loss  0.6997476397351083
epoch  28  , train loss  0.71184127125374   , vali loss  0.6989105463638849
epoch  29  , train loss  0.7115358167317876   , vali loss  0.6994100833502865
epoch  30  , train loss  0.7114673905391007   , vali loss  0.6981027704001598
epoch  31  , train loss  0.7108069476522904   , vali loss  0.700518859609802
epoch  32  , train loss  0.7109606277181155   , vali loss  0.6971977139040665
epoch  33  , train loss  0.7107307901574303   , vali loss  0.6986853251071806
epoch  34  , train loss  0.7105004559175822   , vali loss  0.697440122002378
epoch  35  , train loss  0.7102063244424265   , vali loss  0.6964968545105766
epoch  36  , train loss  0.7101883227993675   , vali loss  0.6945875011608659
epoch  37  , train loss  0.7100466033465073   , vali loss  0.6939241189506417
epoch  38  , train loss  0.710011438063771   , vali loss  0.6935556360809001
epoch  39  , train loss  0.7099725185412481   , vali loss  0.6935015073576936
epoch  40  , train loss  0.7099467185547776   , vali loss  0.693475973999865
epoch  41  , train loss  0.7099241601428253   , vali loss  0.6934818881088707
epoch  42  , train loss  0.7099046387310242   , vali loss  0.693499153889056
epoch  43  , train loss  0.7098756441212818   , vali loss  0.6935631285773921
epoch  44  , train loss  0.7098536465385623   , vali loss  0.69365358224736
epoch  45  , train loss  0.709839603364894   , vali loss  0.6935177061878218
epoch  46  , train loss  0.709689130581788   , vali loss  0.6938722264071724
epoch  47  , train loss  0.7098032975766604   , vali loss  0.6939942127034039
epoch  48  , train loss  0.7096892548808648   , vali loss  0.6936132831928894
epoch  49  , train loss  0.7098924009257651   , vali loss  0.6942344603851098
epoch  50  , train loss  0.7098049459963534   , vali loss  0.6946308172767073
epoch  51  , train loss  0.7097389292871821   , vali loss  0.6952575133860435
epoch  52  , train loss  0.70964543386599   , vali loss  0.6954546741072558
epoch  53  , train loss  0.7095464688650495   , vali loss  0.6947456665813024
epoch  54  , train loss  0.7097297362573821   , vali loss  0.6955406929726978
epoch  55  , train loss  0.7096849250233369   , vali loss  0.6956522116209131
epoch  56  , train loss  0.7096636315762431   , vali loss  0.6956729613075554
epoch  57  , train loss  0.7104089761700911   , vali loss  0.693696090263454
epoch  58  , train loss  0.7100257555446134   , vali loss  0.6941333884057936
epoch  59  , train loss  0.7099206799138378   , vali loss  0.6943909425073529
P1 = 0,  P2 = 1, P3 = 0, Fold = 0, CI-i = 0.529078, MSE = 0.693476
param  8   32   12
epoch  0  , train loss  29.447550046866727   , vali loss  0.9872738384536378
epoch  1  , train loss  0.8411953343491775   , vali loss  1.4321999214417593
epoch  2  , train loss  0.8018513483552121   , vali loss  1.895535830269787
epoch  3  , train loss  0.7800826910690204   , vali loss  2.0232649263565543
epoch  4  , train loss  0.7686042758517144   , vali loss  2.0399739939943045
epoch  5  , train loss  0.7615343930151638   , vali loss  2.1036727623197002
epoch  6  , train loss  0.7587648408798463   , vali loss  2.0664025453243986
epoch  7  , train loss  0.7557194764449949   , vali loss  2.258385691433968
epoch  8  , train loss  0.7491549513033823   , vali loss  2.279522609103427
epoch  9  , train loss  0.7460707622071828   , vali loss  2.2115464450392563
epoch  10  , train loss  0.742240084007551   , vali loss  2.1531277500915955
epoch  11  , train loss  0.736848741825739   , vali loss  2.0621320825714493
epoch  12  , train loss  0.7353447944831616   , vali loss  1.9697480329464871
epoch  13  , train loss  0.7325578195040214   , vali loss  1.9045164258859069
epoch  14  , train loss  0.7291837548446278   , vali loss  1.7326637191420198
epoch  15  , train loss  0.7286297924091926   , vali loss  1.5689051569345862
epoch  16  , train loss  0.7266101952956155   , vali loss  1.411111261548381
epoch  17  , train loss  0.7272141096653523   , vali loss  1.2484235543627447
epoch  18  , train loss  0.7265348966592607   , vali loss  1.05435579900564
epoch  19  , train loss  0.7231893503682255   , vali loss  0.9287860371023863
epoch  20  , train loss  0.7222381684175153   , vali loss  0.8955050774485295
epoch  21  , train loss  0.7209083421830688   , vali loss  0.8176077625040075
epoch  22  , train loss  0.7200576039752712   , vali loss  0.7428608406405995
epoch  23  , train loss  0.7188106292706657   , vali loss  0.722917242302755
epoch  24  , train loss  0.7172973505244226   , vali loss  0.7241324260055919
epoch  25  , train loss  0.716154093151798   , vali loss  0.7170221824141312
epoch  26  , train loss  0.7159649324813894   , vali loss  0.7142140987565501
epoch  27  , train loss  0.7155484606265369   , vali loss  0.7080962988053944
epoch  28  , train loss  0.7149190944656099   , vali loss  0.6974836276651633
epoch  29  , train loss  0.7127186856444516   , vali loss  0.70144352556527
epoch  30  , train loss  0.711841865785046   , vali loss  0.7025522043718414
epoch  31  , train loss  0.7113840733254795   , vali loss  0.7038846485321668
epoch  32  , train loss  0.7108575599464182   , vali loss  0.7025961935130046
epoch  33  , train loss  0.7106040948341774   , vali loss  0.7026669675522764
epoch  34  , train loss  0.710476174272415   , vali loss  0.7038121395861336
epoch  35  , train loss  0.7104828317927845   , vali loss  0.6987396440819776
epoch  36  , train loss  0.7103818032233354   , vali loss  0.6972140542139498
epoch  37  , train loss  0.7102694805883322   , vali loss  0.6964007551143011
epoch  38  , train loss  0.7102842795636545   , vali loss  0.6975574133645225
epoch  39  , train loss  0.7102689492302681   , vali loss  0.6953544631759908
epoch  40  , train loss  0.7102512123257041   , vali loss  0.694926020749368
epoch  41  , train loss  0.7103049672413855   , vali loss  0.6956878930558607
epoch  42  , train loss  0.7102665539455351   , vali loss  0.6945870832388269
epoch  43  , train loss  0.7101426205743218   , vali loss  0.6947534325200375
epoch  44  , train loss  0.7101494887961579   , vali loss  0.6941842220315735
epoch  45  , train loss  0.7101863530789151   , vali loss  0.6940417407769773
epoch  46  , train loss  0.7100542205170812   , vali loss  0.6945445495711728
epoch  47  , train loss  0.7102059774356706   , vali loss  0.6938497442422292
epoch  48  , train loss  0.7102093223059545   , vali loss  0.693727008585964
epoch  49  , train loss  0.7101159059231403   , vali loss  0.6936095105324883
epoch  50  , train loss  0.7101514130230454   , vali loss  0.693532333846288
epoch  51  , train loss  0.710156016280477   , vali loss  0.6934801677789213
epoch  52  , train loss  0.7100857476331889   , vali loss  0.6935990155816798
epoch  53  , train loss  0.7102455296009073   , vali loss  0.6934905758222928
epoch  54  , train loss  0.7100467970154832   , vali loss  0.6941019649786022
epoch  55  , train loss  0.7099804257994536   , vali loss  0.6934698854076293
epoch  56  , train loss  0.7101012346642802   , vali loss  0.693855348699828
epoch  57  , train loss  0.7101005127370809   , vali loss  0.6938595713814969
epoch  58  , train loss  0.7099764554811109   , vali loss  0.6937655039414029
epoch  59  , train loss  0.7100531047528492   , vali loss  0.6939339567140463
P1 = 0,  P2 = 1, P3 = 1, Fold = 0, CI-i = 0.496719, MSE = 0.693470
[32]
[4, 8]
[8, 12]
param  4   32   8
epoch  0  , train loss  33.32741750634553   , vali loss  1.3007657876738832
epoch  1  , train loss  0.8389229988167533   , vali loss  2.093113349896841
epoch  2  , train loss  0.7981260460444893   , vali loss  2.4400074296639
epoch  3  , train loss  0.7767071625075751   , vali loss  2.034823358848255
epoch  4  , train loss  0.7716374473488551   , vali loss  2.3132748077482965
epoch  5  , train loss  0.7609725392713377   , vali loss  2.4167439479843367
epoch  6  , train loss  0.7592675039694307   , vali loss  2.305588686664002
epoch  7  , train loss  0.7566212721052183   , vali loss  2.3739527230744457
epoch  8  , train loss  0.7500266899280615   , vali loss  2.3962351001193882
epoch  9  , train loss  0.747633936286148   , vali loss  2.2628871217287623
epoch  10  , train loss  0.7464943920690796   , vali loss  2.1159400533000365
epoch  11  , train loss  0.7428598626242169   , vali loss  2.08433189201684
epoch  12  , train loss  0.73792840747796   , vali loss  2.143469528094886
epoch  13  , train loss  0.7374341207084315   , vali loss  2.0689789551482294
epoch  14  , train loss  0.7371005031536193   , vali loss  2.2524548853494313
epoch  15  , train loss  0.7327400032676418   , vali loss  2.110657577433841
epoch  16  , train loss  0.7314985763404255   , vali loss  2.114407251182288
epoch  17  , train loss  0.7284763390188427   , vali loss  2.05303483512813
epoch  18  , train loss  0.7245431692489321   , vali loss  1.8496094935500063
epoch  19  , train loss  0.7242249804391329   , vali loss  1.617033606668157
epoch  20  , train loss  0.7220996372733246   , vali loss  1.46895875223841
epoch  21  , train loss  0.7217143206474438   , vali loss  1.3275680175696862
epoch  22  , train loss  0.722262312853147   , vali loss  1.1351225037112422
epoch  23  , train loss  0.7205631902116372   , vali loss  0.9665572616787732
epoch  24  , train loss  0.7185636840791328   , vali loss  0.8997565260748321
epoch  25  , train loss  0.7162342868812238   , vali loss  0.8641785029993856
epoch  26  , train loss  0.7168814643459164   , vali loss  0.7643352519601524
epoch  27  , train loss  0.7158801998321043   , vali loss  0.74338529636958
epoch  28  , train loss  0.7150122507279355   , vali loss  0.7508737266054617
epoch  29  , train loss  0.7134511420683106   , vali loss  0.741064056866765
epoch  30  , train loss  0.7124332865778851   , vali loss  0.7409469303133233
epoch  31  , train loss  0.7116606107881439   , vali loss  0.7254323573276764
epoch  32  , train loss  0.7099025566511741   , vali loss  0.7418838719586404
epoch  33  , train loss  0.7092376821897207   , vali loss  0.7521001290764534
epoch  34  , train loss  0.7094571520684728   , vali loss  0.7447287764376995
epoch  35  , train loss  0.7093813819569282   , vali loss  0.7123486662214644
epoch  36  , train loss  0.709277493692169   , vali loss  0.725579511847717
epoch  37  , train loss  0.7088352219718155   , vali loss  0.7267828519270901
epoch  38  , train loss  0.708733028944929   , vali loss  0.7225963055673174
epoch  39  , train loss  0.7086684974949559   , vali loss  0.718540694759077
epoch  40  , train loss  0.7087041475020549   , vali loss  0.7085917544537915
epoch  41  , train loss  0.7089245083566863   , vali loss  0.7106838273012546
epoch  42  , train loss  0.7084996710055144   , vali loss  0.7065821112281891
epoch  43  , train loss  0.7083912034503849   , vali loss  0.7085061366895943
epoch  44  , train loss  0.7085033828515768   , vali loss  0.7040741723557211
epoch  45  , train loss  0.7083614710694767   , vali loss  0.7029005641703543
epoch  46  , train loss  0.7083747373172105   , vali loss  0.7028050842704436
epoch  47  , train loss  0.7083379734904625   , vali loss  0.7023228266642115
epoch  48  , train loss  0.7083016197953246   , vali loss  0.7016123710922699
epoch  49  , train loss  0.7083004521866344   , vali loss  0.7032562859363586
epoch  50  , train loss  0.7084847023524713   , vali loss  0.7014996367137395
epoch  51  , train loss  0.7084197303591825   , vali loss  0.7011788027750689
epoch  52  , train loss  0.7083707520258808   , vali loss  0.7009091477330233
epoch  53  , train loss  0.7083428129406364   , vali loss  0.7007223853141219
epoch  54  , train loss  0.7083506936974718   , vali loss  0.7005115297808544
epoch  55  , train loss  0.7079880256813479   , vali loss  0.7004659397881884
epoch  56  , train loss  0.7084518795422546   , vali loss  0.7000472778520106
epoch  57  , train loss  0.7082942914391793   , vali loss  0.6999771023178895
epoch  58  , train loss  0.7084184322517342   , vali loss  0.7000083541620921
epoch  59  , train loss  0.7081776884684939   , vali loss  0.7002291136441441
